metode,fails1,fails2,lidzibas_procents,konceptu_lidziba,frazu_lidziba,klasifikacija,n_vertiba,loga_izmers,stopvardu_skaits,konceptu_svars,frazu_svars
Heša metode,L_nenoteikta_1,L17,0.6875,0.3750,1.0000,1,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L6,0.4250,0.7500,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L17,0.1789,0.1579,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L9,0.1787,0.0847,0.2727,0,1,2,0,0.5000,0.5000
Heša metode,L2,L4,0.1757,0.1591,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L18,L22,0.1720,0.2075,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L5,0.1593,0.1186,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L3,L20,0.1550,0.0492,0.2609,0,1,2,0,0.5000,0.5000
Heša metode,L3,L5,0.1528,0.1270,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L3,L14,0.1499,0.1212,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L6,L9,0.1463,0.0294,0.2632,0,1,2,0,0.5000,0.5000
Heša metode,L5,L6,0.1448,0.1077,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L2,L22,0.1366,0.1250,0.1481,0,1,2,0,0.5000,0.5000
Heša metode,L9,L16,0.1359,0.0635,0.2083,0,1,2,0,0.5000,0.5000
Heša metode,L9,L13,0.1345,0.0690,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L5,0.1326,0.0800,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L2,L17,0.1326,0.0800,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L2,L3,0.1318,0.1346,0.1290,0,1,2,0,0.5000,0.5000
Heša metode,L5,L14,0.1306,0.1500,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L5,L12,0.1306,0.1321,0.1290,0,1,2,0,0.5000,0.5000
Heša metode,L6,L20,0.1298,0.1017,0.1579,0,1,2,0,0.5000,0.5000
Heša metode,L4,L21,0.1236,0.0893,0.1579,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L2,0.1220,0.0588,0.1852,0,1,2,0,0.5000,0.5000
Heša metode,L6,L12,0.1200,0.0476,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L3,L4,0.1198,0.0968,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L5,L16,0.1189,0.0455,0.1923,0,1,2,0,0.5000,0.5000
Heša metode,L17,L23,0.1177,0.1354,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L20,0.1174,0.0682,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L4,L8,0.1167,0.0429,0.1905,0,1,2,0,0.5000,0.5000
Heša metode,L9,L12,0.1166,0.0545,0.1786,0,1,2,0,0.5000,0.5000
Heša metode,L5,L7,0.1159,0.0522,0.1795,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L18,0.1156,0.1311,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L6,L16,0.1151,0.0563,0.1739,0,1,2,0,0.5000,0.5000
Heša metode,L5,L23,0.1146,0.1010,0.1282,0,1,2,0,0.5000,0.5000
Heša metode,L1,L19,0.1146,0.0625,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L2,L7,0.1141,0.0574,0.1707,0,1,2,0,0.5000,0.5000
Heša metode,L14,L15,0.1131,0.0874,0.1389,0,1,2,0,0.5000,0.5000
Heša metode,L18,L19,0.1121,0.0909,0.1333,0,1,2,0,0.5000,0.5000
Heša metode,L20,L21,0.1119,0.0364,0.1875,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_1,L23,0.1119,0.1237,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L1,L18,0.1115,0.1053,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L3,L9,0.1100,0.1129,0.1071,0,1,2,0,0.5000,0.5000
Heša metode,L2,L14,0.1092,0.0755,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L22,0.1089,0.1270,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L11,L20,0.1086,0.0172,0.2000,0,1,2,0,0.5000,0.5000
Heša metode,L5,L20,0.1085,0.0351,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L5,L22,0.1077,0.1000,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L1,L2,0.1073,0.1277,0.0870,0,1,2,0,0.5000,0.5000
Heša metode,L4,L6,0.1072,0.0781,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L12,L17,0.1072,0.1538,0.0606,0,1,2,0,0.5000,0.5000
Heša metode,L7,L24,0.1071,0.0604,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L5,0.1068,0.0923,0.1212,0,1,2,0,0.5000,0.5000
Heša metode,L6,L13,0.1057,0.0448,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L12,L16,0.1056,0.0500,0.1613,0,1,2,0,0.5000,0.5000
Heša metode,L6,L18,0.1056,0.1111,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L2,L6,0.1055,0.0909,0.1200,0,1,2,0,0.5000,0.5000
Heša metode,L2,L18,0.1037,0.1304,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L3,L24,0.1035,0.1139,0.0930,0,1,2,0,0.5000,0.5000
Heša metode,L20,L23,0.1034,0.0303,0.1765,0,1,2,0,0.5000,0.5000
Heša metode,L19,L21,0.1019,0.0370,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L21,L22,0.1017,0.1034,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L4,L5,0.1008,0.0862,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L4,L16,0.1007,0.0476,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L13,L16,0.1007,0.0635,0.1379,0,1,2,0,0.5000,0.5000
Heša metode,L12,L23,0.1007,0.0619,0.1395,0,1,2,0,0.5000,0.5000
Heša metode,L16,L23,0.1003,0.0467,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L4,L13,0.0999,0.0517,0.1481,0,1,2,0,0.5000,0.5000
Heša metode,L11,L21,0.0995,0.0323,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L9,L18,0.0990,0.1071,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L2,L24,0.0989,0.0758,0.1220,0,1,2,0,0.5000,0.5000
Heša metode,L16,L18,0.0983,0.1167,0.0800,0,1,2,0,0.5000,0.5000
Heša metode,L22,L24,0.0978,0.0641,0.1316,0,1,2,0,0.5000,0.5000
Heša metode,L7,L23,0.0978,0.0636,0.1321,0,1,2,0,0.5000,0.5000
Heša metode,L9,L23,0.0973,0.0594,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L3,L23,0.0973,0.0755,0.1190,0,1,2,0,0.5000,0.5000
Heša metode,L8,L13,0.0972,0.0278,0.1667,0,1,2,0,0.5000,0.5000
Heša metode,L2,L16,0.0967,0.0556,0.1379,0,1,2,0,0.5000,0.5000
Heša metode,L1,L6,0.0967,0.0758,0.1176,0,1,2,0,0.5000,0.5000
Heša metode,L17,L22,0.0964,0.1186,0.0741,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L13,0.0963,0.0455,0.1471,0,1,2,0,0.5000,0.5000
Heša metode,L2,L11,0.0956,0.0800,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L13,L15,0.0955,0.0288,0.1622,0,1,2,0,0.5000,0.5000
Heša metode,L20,L22,0.0950,0.0536,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L7,L16,0.0949,0.0435,0.1463,0,1,2,0,0.5000,0.5000
Heša metode,L6,L23,0.0942,0.0455,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L_nenoteikta_2,L1,0.0940,0.0769,0.1111,0,1,2,0,0.5000,0.5000
Heša metode,L14,L23,0.0937,0.0874,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L13,L21,0.0936,0.0508,0.1364,0,1,2,0,0.5000,0.5000
Heša metode,L9,L20,0.0935,0.0962,0.0909,0,1,2,0,0.5000,0.5000
Heša metode,L6,L14,0.0931,0.1029,0.0833,0,1,2,0,0.5000,0.5000
Heša metode,L3,L6,0.0924,0.0694,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L4,L23,0.0921,0.0816,0.1026,0,1,2,0,0.5000,0.5000
Heša metode,L8,L11,0.0920,0.0411,0.1429,0,1,2,0,0.5000,0.5000
Heša metode,L7,L8,0.0919,0.0486,0.1351,0,1,2,0,0.5000,0.5000
Heša metode,L4,L7,0.0918,0.0299,0.1538,0,1,2,0,0.5000,0.5000
Heša metode,L1,L22,0.0917,0.0833,0.1000,0,1,2,0,0.5000,0.5000
Heša metode,L3,L7,0.0912,0.0429,0.1395,0,1,2,0,0.5000,0.5000
Heša metode,L4,L22,0.0911,0.1053,0.0769,0,1,2,0,0.5000,0.5000
Heša metode,L7,L12,0.0909,0.0227,0.1591,0,1,2,0,0.5000,0.5000
Heša metode,L14,L20,0.0909,0.0000,0.1818,0,1,2,0,0.5000,0.5000
Heša metode,L4,L14,0.0900,0.0645,0.1154,0,1,2,0,0.5000,0.5000
Heša metode,L5,L24,0.0899,0.1067,0.0732,0,1,2,0,0.5000,0.5000
